Symbol,Name,Sector,Industry,Headquarters,CIK
"MMM
",3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
"AOS
",A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin","0000091142
"
"ABT
",Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800
"ABBV
",AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
"ABMD
",ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",815094
"ACN
",Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
"ATVI
",Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",718877
"ADBE
",Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",796343
"AAP
",Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449
"AMD
",Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",2488
"AES
",AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
"AFL
",AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",4977
"A
",Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1090872
"APD
",Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
"AKAM
",Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222
"ALK
",Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",766421
"ALB
",Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913
"ARE
",Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1035443
"ALXN
",Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts","0000899866
"
"ALGN
",Align Technology,Health Care,Health Care Supplies,"San Jose, California",1097149
"ALLE
",Allegion,Industrials,Building Products,"Dublin, Ireland","0001579241
"
"AGN
","Allergan, plc",Health Care,Pharmaceuticals,"Dublin, Ireland","0001578845
"
"ADS
",Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas","0001101215
"
"LNT
",Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin","0000352541
"
"ALL
",Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois","0000899051
"
"GOOGL
",Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California","0001652044
"
"GOOG
",Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California","0001652044
"
"MO
",Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",764180
"AMZN
",Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington","0001018724
"
"AMCR
",Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",1748790
"AEE
",Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri","0001002910
"
"AAL
",American Airlines Group,Industrials,Airlines,"Fort Worth, Texas","0000006201
"
"AEP
",American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4904
"AXP
",American Express Co,Financials,Consumer Finance,"New York, New York","0000004962
"
"AIG
",American International Group,Financials,Property & Casualty Insurance,"New York, New York","0000005272
"
"AMT
",American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts","0001053507
"
"AWK
",American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey","0001410636
"
"AMP
",Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota","0000820027
"
"ABC
",AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania","0001140859
"
"AME
",AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania","0001037868
"
"AMGN
",Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California","0000318154
"
"APH
",Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut","0000820313
"
"ADI
","Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts","0000006281
"
"ANSS
",ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania","0001013462
"
"ANTM
",Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana","0001156039
"
"AON
",Aon plc,Financials,Insurance Brokers,"London, United Kingdom","0000315293
"
"APA
",Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas","0000006769
"
"AIV
",Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado","0000922864
"
"AAPL
",Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California","0000320193
"
"AMAT
",Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California","0000006951
"
"APTV
",Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland","0001521332
"
"ADM
",Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois","0000007084
"
"ARNC
",Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",4281
"ANET
",Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",1596532
"AJG
",Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois","0000354190
"
"AIZ
",Assurant,Financials,Multi-line Insurance,"New York, New York","0001267238
"
"T
",AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717
"ATO
",Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",731802
"ADSK
",Autodesk Inc.,Information Technology,Application Software,"San Rafael, California","0000769397
"
"ADP
",Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey","0000008670
"
"AZO
",AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee","0000866787
"
"AVB
","AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]","0000915912
"
"AVY
",Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California","0000008818
"
"BKR
",Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605
"BLL
",Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado","0000009389
"
